ParticipantID,Trial,SaccadeNo,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY,PeakVelocity,MeanVelocity,Blink,Direction,Amplitude,EyeTracked,Task,Order,Stimulus,SearchOrCount
cass1,3,11,3086,3114,30,24.1,620.3,294,665.8,352.59,182.02,FALSE,RIGHT,5.48,RIGHT,Visual foraging,1,fjord.jpg,Search
cass1,3,12,3298,3326,30,285.7,656.3,269,448.70000000000005,325.25,171.27,FALSE,DOWN,5.21,RIGHT,Visual foraging,1,fjord.jpg,Search
cass1,3,13,3450,3474,26,254.2,440.9,274.6,291,249.29,136.14,FALSE,DOWN,3.63,RIGHT,Visual foraging,1,fjord.jpg,Search
cass1,3,14,3684,3728,46,283.4,286.70000000000005,554.4,238.89999999999998,362.51,138.76,FALSE,RIGHT,5.48,RIGHT,Visual foraging,1,fjord.jpg,Search
cass1,3,15,4318,4338,22,567.9,234.70000000000005,483.4,214.39999999999998,132.92,75.28,FALSE,LEFT,1.75,RIGHT,Visual foraging,1,fjord.jpg,Search
cass1,3,16,4672,4724,54,484.8,207.29999999999995,1002.9,125.20000000000005,479.35,211.57,FALSE,RIGHT,10.43,RIGHT,Visual foraging,1,fjord.jpg,Search
cass1,3,17,4982,5034,54,1020,121.5,1484.7,134.70000000000005,415.72,183.86,FALSE,RIGHT,8.99,RIGHT,Visual foraging,1,fjord.jpg,Search
cass1,3,18,5364,5402,40,1498.2,137.60000000000002,1243.7,273.29999999999995,265.38,146.26,FALSE,LEFT,5.85,RIGHT,Visual foraging,1,fjord.jpg,Search
cass1,3,19,5644,5676,34,1246.6,261.9,981,318.6,291.1,160.66,FALSE,LEFT,5.52,RIGHT,Visual foraging,1,fjord.jpg,Search
cass1,3,20,5918,5982,66,984.5,320.79999999999995,381.8,342.4,373.04,197.5,FALSE,LEFT,12.17,RIGHT,Visual foraging,1,fjord.jpg,Search
cass1,3,21,6174,6214,42,370.4,346.20000000000005,132.7,325.1,291.99,128.26,FALSE,LEFT,4.68,RIGHT,Visual foraging,1,fjord.jpg,Search
